company,founded_year,sector,subsector,country,city,funding_usd_millions,valuation_usd_millions,employees,startup_stage,profitable,is_unicorn,data_source,company_key,startup_age,funding_log,valuation_log,funding_per_employee
Uniphore,2008,Enterprise AI,Voice AI / Conversational AI,India,Chennai,987.0,2800.0,750.0,Late Stage,,True,India AI Dataset,uniphore,18,6.895682697747868,7.937731775260109,1.316
Eightfold AI,2016,HR Tech,Talent Intelligence AI,India,Delhi NCR,391.0,2100.0,350.0,Late Stage,,True,India AI Dataset,eightfold ai,10,5.971261839790462,7.650168700845001,1.1171428571428572
Observe AI,2017,Enterprise AI,Contact Center AI,India,Bengaluru,214.0,1500.0,350.0,Late Stage,,False,India AI Dataset,observe ai,9,5.3706380281276624,7.313886831633462,0.6114285714285714
Pixis,2020,MarTech,Marketing AI,India,Bengaluru,209.0,1000.0,350.0,Late Stage,,True,India AI Dataset,pixis,6,5.3471075307174685,6.90875477931522,0.5971428571428572
Darwinbox,2015,HR Tech,HRMS / HCM,India,Hyderabad,110.0,1000.0,750.0,Late Stage,,True,India AI Dataset,darwinbox,11,4.709530201312334,6.90875477931522,0.14666666666666667
Ola Krutrim,2023,Foundation Models,LLM / Indic AI,India,Bengaluru,74.0,1000.0,150.0,Growth Stage,,True,India AI Dataset,ola krutrim,3,4.31748811353631,6.90875477931522,0.49333333333333335
Fractal Analytics,2000,Enterprise AI,Decision Science / Analytics,India,Mumbai,170.0,1000.0,750.0,Late Stage,,True,India AI Dataset,fractal analytics,26,5.14166355650266,6.90875477931522,0.22666666666666666
DevRev,2020,Developer Tools,Dev AI / CRM,India,Chennai,150.8,1100.0,350.0,Late Stage,,False,India AI Dataset,devrev,6,5.02256386496153,7.00397413672268,0.4308571428571429
Yellow.ai,2016,Enterprise AI,Conversational AI / CX,India,Bengaluru,102.0,1000.0,350.0,Late Stage,,False,India AI Dataset,yellow.ai,10,4.634728988229636,6.90875477931522,0.2914285714285714
Haptik,2013,Enterprise AI,Conversational AI / Chatbots,India,Mumbai,12.2,250.0,150.0,Acquired,,False,India AI Dataset,haptik,13,2.580216829592325,5.5254529391317835,0.08133333333333333
Video Verse,2016,Media Tech,Video AI,India,Mumbai,105.0,500.0,150.0,Growth Stage,,False,India AI Dataset,video verse,10,4.663439094112067,6.2166061010848646,0.7
TrueMeds,2019,HealthTech,Pharmacy AI,India,Mumbai,85.0,400.0,150.0,Growth Stage,,False,India AI Dataset,truemeds,7,4.454347296253507,5.993961427306569,0.5666666666666667
OpenFX,2022,Fintech AI,FX Trading AI,India,Mumbai,94.0,500.0,75.0,Growth Stage,,False,India AI Dataset,openfx,4,4.553876891600541,6.2166061010848646,1.2533333333333334
Emergent AI,2025,Agentic AI,Code Generation,India,Bengaluru,100.0,600.0,75.0,Early Stage,,False,India AI Dataset,emergent ai,1,4.61512051684126,6.398594934535208,1.3333333333333333
CodeRabbit,2023,Developer Tools,Code Review AI,India,Pune,87.6,500.0,75.0,Growth Stage,,False,India AI Dataset,coderabbit,3,4.484131857611035,6.2166061010848646,1.168
Neysa,2023,GPU Cloud,AI Infrastructure,India,Mumbai,49.0,250.0,75.0,Growth Stage,,False,India AI Dataset,neysa,3,3.912023005428146,5.5254529391317835,0.6533333333333333
Sarvam AI,2023,Foundation Models,Sovereign LLM / Indic AI,India,Bengaluru,53.0,300.0,75.0,Growth Stage,,False,India AI Dataset,sarvam ai,3,3.9889840465642745,5.707110264748875,0.7066666666666667
Sigmoid,2013,Enterprise AI,Data Engineering / MLOps,India,Bengaluru,45.0,250.0,350.0,Growth Stage,,False,India AI Dataset,sigmoid,13,3.828641396489095,5.5254529391317835,0.12857142857142856
InVideo,2019,Media Tech,Video Creation AI,India,Mumbai,52.5,300.0,150.0,Growth Stage,,False,India AI Dataset,invideo,7,3.979681653901961,5.707110264748875,0.35
Jiffy AI,2018,Enterprise AI,Hyperautomation,India,Bengaluru,71.0,350.0,150.0,Growth Stage,,False,India AI Dataset,jiffy ai,8,4.276666119016055,5.860786223465865,0.47333333333333333
QpiAI,2019,Quantum AI,Quantum Computing + AI,India,Bengaluru,65.0,300.0,75.0,Early Stage,,False,India AI Dataset,qpiai,7,4.189654742026425,5.707110264748875,0.8666666666666667
MathCo,2016,Enterprise AI,Decision Science,India,Bengaluru,50.0,250.0,350.0,Growth Stage,,False,India AI Dataset,mathco,10,3.9318256327243257,5.5254529391317835,0.14285714285714285
Ema,2023,Agentic AI,Universal AI Employee,India,Bengaluru,61.0,400.0,75.0,Growth Stage,,False,India AI Dataset,ema,3,4.127134385045092,5.993961427306569,0.8133333333333334
Gnani AI,2017,Enterprise AI,Voice AI / Agentic AI,India,Bengaluru,34.2,200.0,150.0,Growth Stage,,False,India AI Dataset,gnani ai,9,3.5610460826040513,5.303304908059076,0.228
SigTuple,2015,HealthTech,Pathology AI,India,Bengaluru,19.5,100.0,75.0,Growth Stage,,False,India AI Dataset,sigtuple,11,3.0204248861443626,4.61512051684126,0.26
Niramai,2016,HealthTech,Cancer Screening AI,India,Bengaluru,6.4,30.0,30.0,Early Stage,,False,India AI Dataset,niramai,10,2.0014800002101243,3.4339872044851463,0.21333333333333335
Cropin,2010,AgriTech,Farm Management AI,India,Bengaluru,120.0,400.0,350.0,Growth Stage,,False,India AI Dataset,cropin,16,4.795790545596741,5.993961427306569,0.34285714285714286
ideaForge,2012,Defence Tech,Drone AI / UAV,India,Mumbai,50.0,350.0,350.0,Listed,,False,India AI Dataset,ideaforge,14,3.9318256327243257,5.860786223465865,0.14285714285714285
