company,founded_year,sector,subsector,country,city,funding_usd_millions,valuation_usd_millions,employees,startup_stage,profitable,is_unicorn,data_source,company_key
DeepMind,2010,Foundation Model / Research,AI Research Lab,United Kingdom,London,500.0,,400,Acquisition,False,,Funding Dataset,deepmind
OpenAI,2015,Foundation Model / LLM,General-Purpose AI,United States,San Francisco,1000.0,,120,Strategic Investment,False,,Funding Dataset,openai
Palantir,2003,AI Application,Data Analytics / Defense AI,United States,Denver,0.0,15800.0,2400,Direct Listing,True,,Funding Dataset,palantir
UiPath,2005,AI Application,Robotic Process Automation,United States,New York,1340.0,35800.0,4000,IPO,False,,Funding Dataset,uipath
SenseTime,2014,AI Application,Computer Vision / Smart City,China,Hong Kong,740.0,16800.0,6000,IPO,False,,Funding Dataset,sensetime
OpenAI,2015,Foundation Model / LLM,General-Purpose AI,United States,San Francisco,300.0,20000.0,375,Series D,False,,Funding Dataset,openai
Adept AI,2022,AI Application,AI Agent / Action Models,United States,San Francisco,65.0,1000.0,40,Series A,False,,Funding Dataset,adept ai
Stability AI,2019,Foundation Model / Image Gen,Image Generation,United Kingdom,London,101.0,1000.0,150,Seed,False,,Funding Dataset,stability ai
OpenAI,2015,Foundation Model / LLM,General-Purpose AI,United States,San Francisco,10000.0,29000.0,770,Strategic Investment,False,,Funding Dataset,openai
Cohere,2019,Foundation Model / LLM,Enterprise AI,Canada,Toronto,270.0,2200.0,450,Series C,False,,Funding Dataset,cohere
Inflection AI,2022,Foundation Model / LLM,Personal AI Assistant,United States,Palo Alto,1300.0,4000.0,200,Series B,False,,Funding Dataset,inflection ai
Hugging Face,2016,AI Infrastructure,Open Source AI Platform,United States,New York,235.0,4500.0,250,Series D,False,,Funding Dataset,hugging face
Anthropic,2021,Foundation Model / LLM,AI Safety Research,United States,San Francisco,4000.0,,500,Strategic Investment,False,,Funding Dataset,anthropic
Figure AI,2022,AI Application,Humanoid Robotics,United States,Sunnyvale,675.0,2600.0,700,Series B,False,,Funding Dataset,figure ai
Anthropic,2021,Foundation Model / LLM,AI Safety Research,United States,San Francisco,2750.0,18400.0,1000,Series D,False,,Funding Dataset,anthropic
Wayve,2017,AI Application,Autonomous Driving,United Kingdom,London,1050.0,,350,Series C,False,,Funding Dataset,wayve
Mistral AI,2023,Foundation Model / LLM,Open-Weight AI Models,France,Paris,640.0,6000.0,400,Series B,False,,Funding Dataset,mistral ai
Databricks,2013,AI Infrastructure,Data Platform / ML Infrastructure,United States,San Francisco,10000.0,62000.0,6000,Series I,False,,Funding Dataset,databricks
OpenAI,2015,Foundation Model / LLM,General-Purpose AI,United States,San Francisco,6600.0,157000.0,3000,Series E,False,,Funding Dataset,openai
CoreWeave,2017,AI Infrastructure,GPU Cloud Computing,United States,Roseland,650.0,23000.0,1300,Series C,False,,Funding Dataset,coreweave
xAI,2023,Foundation Model / LLM,General-Purpose AI,United States,Palo Alto,6000.0,45000.0,400,Series C,False,,Funding Dataset,xai
Mistral AI,2023,Foundation Model / LLM,Open-Weight AI Models,France,Paris,2000.0,15500.0,700,Series C,False,,Funding Dataset,mistral ai
Lambda,2012,AI Infrastructure,GPU Cloud Computing,United States,San Francisco,480.0,2500.0,400,Series D,True,,Funding Dataset,lambda
Together AI,2022,AI Infrastructure,Open Source AI Platform,United States,San Francisco,305.0,3300.0,200,Series B,False,,Funding Dataset,together ai
Anthropic,2021,Foundation Model / LLM,AI Safety Research,United States,San Francisco,3500.0,61500.0,1400,Series E Extension,False,,Funding Dataset,anthropic
Safe Superintelligence (SSI),2024,Foundation Model / LLM,AI Safety Research,United States,Palo Alto,2000.0,32000.0,30,Series A,False,,Funding Dataset,safe superintelligence (ssi)
OpenAI,2015,Foundation Model / LLM,General-Purpose AI,United States,San Francisco,40000.0,300000.0,3700,Series F,False,,Funding Dataset,openai
Perplexity AI,2022,AI Application,AI Search Engine,United States,San Francisco,500.0,18000.0,250,Series E,False,,Funding Dataset,perplexity ai
Ambience Healthcare,2020,AI Application,Healthcare AI,United States,San Francisco,243.0,,300,Series C,False,,Funding Dataset,ambience healthcare
Scale AI,2016,AI Infrastructure,Data Labeling / Training Data,United States,San Francisco,14300.0,29000.0,1200,Strategic Investment,False,,Funding Dataset,scale ai
xAI,2023,Foundation Model / LLM,General-Purpose AI,United States,Palo Alto,10000.0,200000.0,600,Series C,False,,Funding Dataset,xai
Thinking Machines Lab,2024,Foundation Model / LLM,AI Research,United States,San Francisco,2000.0,10000.0,30,Seed,False,,Funding Dataset,thinking machines lab
Infinite Reality,2019,AI Application,XR / Immersive AI,United States,Orlando,3000.0,,500,Growth Equity,False,,Funding Dataset,infinite reality
Anduril Industries,2017,AI Application,Defense AI,United States,Costa Mesa,2500.0,29000.0,4500,Series F,False,,Funding Dataset,anduril industries
Anthropic,2021,Foundation Model / LLM,AI Safety Research,United States,San Francisco,13000.0,183000.0,1600,Series F,False,,Funding Dataset,anthropic
Project Prometheus,2025,AI for Physical World,Engineering / Manufacturing AI,United States,San Francisco,6200.0,,50,Seed / Launch,False,,Funding Dataset,project prometheus
Anysphere (Cursor),2022,AI Application,AI Coding Assistant,United States,San Francisco,2300.0,29300.0,100,Series C,True,,Funding Dataset,anysphere (cursor)
Databricks,2013,AI Infrastructure,Data Platform / ML Infrastructure,United States,San Francisco,5000.0,134000.0,7000,Series J,False,,Funding Dataset,databricks
Uniphore,2008,Enterprise AI,Voice AI / Conversational AI,India,Chennai,987.0,2800.0,500-1000,Late Stage,,True,India AI Dataset,uniphore
Eightfold AI,2016,HR Tech,Talent Intelligence AI,India,Delhi NCR,391.0,2100.0,200-500,Late Stage,,True,India AI Dataset,eightfold ai
Observe AI,2017,Enterprise AI,Contact Center AI,India,Bengaluru,214.0,1500.0,200-500,Late Stage,,False,India AI Dataset,observe ai
Pixis,2020,MarTech,Marketing AI,India,Bengaluru,209.0,1000.0,200-500,Late Stage,,True,India AI Dataset,pixis
Darwinbox,2015,HR Tech,HRMS / HCM,India,Hyderabad,110.0,1000.0,500-1000,Late Stage,,True,India AI Dataset,darwinbox
Ola Krutrim,2023,Foundation Models,LLM / Indic AI,India,Bengaluru,74.0,1000.0,100-200,Growth Stage,,True,India AI Dataset,ola krutrim
Fractal Analytics,2000,Enterprise AI,Decision Science / Analytics,India,Mumbai,170.0,1000.0,500-1000,Late Stage,,True,India AI Dataset,fractal analytics
DevRev,2020,Developer Tools,Dev AI / CRM,India,Chennai,150.8,1100.0,200-500,Late Stage,,False,India AI Dataset,devrev
Yellow.ai,2016,Enterprise AI,Conversational AI / CX,India,Bengaluru,102.0,1000.0,200-500,Late Stage,,False,India AI Dataset,yellow.ai
Haptik,2013,Enterprise AI,Conversational AI / Chatbots,India,Mumbai,12.2,250.0,100-200,Acquired,,False,India AI Dataset,haptik
Video Verse,2016,Media Tech,Video AI,India,Mumbai,105.0,500.0,100-200,Growth Stage,,False,India AI Dataset,video verse
TrueMeds,2019,HealthTech,Pharmacy AI,India,Mumbai,85.0,400.0,100-200,Growth Stage,,False,India AI Dataset,truemeds
OpenFX,2022,Fintech AI,FX Trading AI,India,Mumbai,94.0,500.0,50-100,Growth Stage,,False,India AI Dataset,openfx
Emergent AI,2025,Agentic AI,Code Generation,India,Bengaluru,100.0,600.0,50-100,Early Stage,,False,India AI Dataset,emergent ai
CodeRabbit,2023,Developer Tools,Code Review AI,India,Pune,87.6,500.0,50-100,Growth Stage,,False,India AI Dataset,coderabbit
Neysa,2023,GPU Cloud,AI Infrastructure,India,Mumbai,49.0,250.0,50-100,Growth Stage,,False,India AI Dataset,neysa
Sarvam AI,2023,Foundation Models,Sovereign LLM / Indic AI,India,Bengaluru,53.0,300.0,50-100,Growth Stage,,False,India AI Dataset,sarvam ai
Sigmoid,2013,Enterprise AI,Data Engineering / MLOps,India,Bengaluru,45.0,250.0,200-500,Growth Stage,,False,India AI Dataset,sigmoid
InVideo,2019,Media Tech,Video Creation AI,India,Mumbai,52.5,300.0,100-200,Growth Stage,,False,India AI Dataset,invideo
Jiffy AI,2018,Enterprise AI,Hyperautomation,India,Bengaluru,71.0,350.0,100-200,Growth Stage,,False,India AI Dataset,jiffy ai
QpiAI,2019,Quantum AI,Quantum Computing + AI,India,Bengaluru,65.0,300.0,50-100,Early Stage,,False,India AI Dataset,qpiai
MathCo,2016,Enterprise AI,Decision Science,India,Bengaluru,50.0,250.0,200-500,Growth Stage,,False,India AI Dataset,mathco
Ema,2023,Agentic AI,Universal AI Employee,India,Bengaluru,61.0,400.0,50-100,Growth Stage,,False,India AI Dataset,ema
Gnani AI,2017,Enterprise AI,Voice AI / Agentic AI,India,Bengaluru,34.2,200.0,100-200,Growth Stage,,False,India AI Dataset,gnani ai
SigTuple,2015,HealthTech,Pathology AI,India,Bengaluru,19.5,100.0,50-100,Growth Stage,,False,India AI Dataset,sigtuple
Niramai,2016,HealthTech,Cancer Screening AI,India,Bengaluru,6.4,30.0,10-50,Early Stage,,False,India AI Dataset,niramai
Cropin,2010,AgriTech,Farm Management AI,India,Bengaluru,120.0,400.0,200-500,Growth Stage,,False,India AI Dataset,cropin
ideaForge,2012,Defence Tech,Drone AI / UAV,India,Mumbai,50.0,350.0,200-500,Listed,,False,India AI Dataset,ideaforge
Frugal AI,2021,Enterprise AI,Document AI / IDP,India,Bengaluru,8.0,40.0,10-50,Early Stage,,False,India AI Dataset,frugal ai
SuperAGI,2022,Agentic AI,Large Action Models,India,Bengaluru,15.0,80.0,50-100,Growth Stage,,False,India AI Dataset,superagi
Leena AI,2018,HR Tech,Employee AI,India,Delhi NCR,40.0,200.0,100-200,Growth Stage,,False,India AI Dataset,leena ai
Neuron7 AI,2020,Enterprise AI,Field Service AI,India,Bengaluru,58.2,280.0,50-100,Growth Stage,,False,India AI Dataset,neuron7 ai
Nanonets,2017,Enterprise AI,Document AI,India,Bengaluru,39.0,200.0,100-200,Growth Stage,,False,India AI Dataset,nanonets
Atomicwork,2022,Enterprise AI,IT Service Mgmt AI,India,Bengaluru,39.0,200.0,50-100,Growth Stage,,False,India AI Dataset,atomicwork
Rephrase.ai,2019,Media Tech,Synthetic Video AI,India,Bengaluru,36.0,150.0,50-100,Growth Stage,,False,India AI Dataset,rephrase.ai
Entropik,2016,Market Research,Consumer Insights AI,India,Bengaluru,34.0,150.0,50-100,Growth Stage,,False,India AI Dataset,entropik
Whatfix,2014,Enterprise AI,Digital Adoption AI,India,Bengaluru,140.0,600.0,500-1000,Late Stage,,False,India AI Dataset,whatfix
Superops,2020,Enterprise AI,IT Management AI,India,Chennai,25.0,150.0,100-200,Late Stage,,False,India AI Dataset,superops
Nurix AI,2024,Agentic AI,Customer Support AI,India,Bengaluru,27.5,200.0,50-100,Early Stage,,False,India AI Dataset,nurix ai
Unifyapps,2023,Enterprise AI,Workflow Automation,India,Delhi NCR,20.0,100.0,50-100,Growth Stage,,False,India AI Dataset,unifyapps
Truefoundry,2021,MLOps,ML Platform,India,Bengaluru,19.0,90.0,50-100,Growth Stage,,False,India AI Dataset,truefoundry
Spyne,2018,Automotive,Visual AI / Auto Imaging,India,Delhi NCR,23.59,120.0,50-100,Growth Stage,,False,India AI Dataset,spyne
Shipsy,2016,Logistics,Supply Chain AI,India,Delhi NCR,25.0,150.0,100-200,Growth Stage,,False,India AI Dataset,shipsy
Contlo,2021,MarTech,Marketing AI,India,Bengaluru,14.3,80.0,50-100,Growth Stage,,False,India AI Dataset,contlo
Prismforce,2021,HR Tech,Workforce AI,India,Mumbai,13.6,70.0,50-100,Growth Stage,,False,India AI Dataset,prismforce
Murf AI,2020,Media Tech,Text to Speech AI,India,Bengaluru,11.5,100.0,50-100,Growth Stage,,False,India AI Dataset,murf ai
Fireflies AI,2016,Productivity,Meeting Intelligence AI,India,Bengaluru,14.0,80.0,50-100,Growth Stage,,False,India AI Dataset,fireflies ai
Vahan AI,2016,HR Tech,Recruitment AI,India,Bengaluru,10.0,60.0,50-100,Growth Stage,,False,India AI Dataset,vahan ai
Playment,2015,Data Annotation,Training Data,India,Bengaluru,9.0,0.0,50-100,Acquired,,False,India AI Dataset,playment
Staqu,2015,Security,Video Surveillance AI,India,Delhi NCR,5.0,30.0,50-100,Growth Stage,,False,India AI Dataset,staqu
Intello Labs,2016,AgriTech,Crop Quality AI,India,Gurugram,4.0,20.0,10-50,Early Stage,,False,India AI Dataset,intello labs
Planck Aerosystems,2018,Defence Tech,Drone AI,India,Hyderabad,4.5,25.0,10-50,Early Stage,,False,India AI Dataset,planck aerosystems
Kore.ai,2014,Enterprise AI,Conversational AI Platform,India,Hyderabad,221.0,1000.0,500-1000,Late Stage,,False,India AI Dataset,kore.ai
Nextbillion.ai,2020,Logistics,Location Intelligence AI,India,Hyderabad,13.5,70.0,50-100,Growth Stage,,False,India AI Dataset,nextbillion.ai
Myelin Foundry,2019,Edge AI,Edge AI / Hardware,India,Bengaluru,8.0,40.0,50-100,Growth Stage,,False,India AI Dataset,myelin foundry
Actyv AI,2019,Fintech AI,Supply Chain Finance AI,India,Bengaluru,12.0,60.0,50-100,Early Stage,,False,India AI Dataset,actyv ai
Avaamo,2014,Enterprise AI,Conversational AI,India,Bengaluru,27.5,150.0,100-200,Growth Stage,,False,India AI Dataset,avaamo
Pixbuf,2018,Media Tech,Generative Image AI,India,Bengaluru,3.5,20.0,10-50,Early Stage,,False,India AI Dataset,pixbuf
OrbitShift,2022,Enterprise AI,Market Intelligence,India,Bengaluru,8.5,40.0,10-50,Early Stage,,False,India AI Dataset,orbitshift
Nektar AI,2020,Enterprise AI,Revenue Intelligence AI,India,Bengaluru,8.15,40.0,50-100,Growth Stage,,False,India AI Dataset,nektar ai
Dhiwise,2021,Developer Tools,App Builder AI,India,Surat,9.5,50.0,50-100,Growth Stage,,False,India AI Dataset,dhiwise
Singulr,2023,Enterprise AI,Agentic AI Platform,India,Pune,10.0,50.0,10-50,Early Stage,,False,India AI Dataset,singulr
Rumik AI,2024,Consumer AI,Lifestyle AI,India,Lucknow,6.5,30.0,10-50,Early Stage,,False,India AI Dataset,rumik ai
BrainsightAI,2019,HealthTech,Brain AI / Neurology,India,Bengaluru,6.6,30.0,10-50,Early Stage,,False,India AI Dataset,brainsightai
Assert AI,2019,Security,Visual AI / Safety,India,Mumbai,6.0,30.0,50-100,Growth Stage,,False,India AI Dataset,assert ai
Two Platforms,2021,Foundation Models,LLM,India,Mumbai,15.0,80.0,50-100,Early Stage,,False,India AI Dataset,two platforms
Beacon Li,2023,Productivity,AI Search,India,Bengaluru,7.0,35.0,10-50,Growth Stage,,False,India AI Dataset,beacon li
Uncia AI,2023,Fintech AI,Lending AI,India,Bengaluru,3.0,20.0,10-50,Early Stage,,False,India AI Dataset,uncia ai
Arrowhead AI,2024,Enterprise AI,Voice AI / Agentic AI,India,Bengaluru,3.0,15.0,10-50,Early Stage,,False,India AI Dataset,arrowhead ai
Bolna AI,2023,Enterprise AI,Voice AI / Call Automation,India,Bengaluru,2.5,12.0,10-50,Early Stage,,False,India AI Dataset,bolna ai
Ozonetel,2007,Enterprise AI,Contact Center AI,India,Hyderabad,15.0,100.0,200-500,Growth Stage,,False,India AI Dataset,ozonetel
PlayAI,2019,Media Tech,Voice AI / TTS,India,Bengaluru,23.7,100.0,50-100,Early Stage,,False,India AI Dataset,playai
Enterpret,2020,Product Analytics,Customer Feedback AI,India,Bengaluru,20.8,100.0,50-100,Growth Stage,,False,India AI Dataset,enterpret
Trupeer,2023,Developer Tools,Product Documentation AI,India,Bengaluru,3.0,15.0,10-50,Early Stage,,False,India AI Dataset,trupeer
Sprinklr,2009,MarTech,Unified CXM AI,India,Delhi NCR,600.0,3700.0,1000+,Listed,,True,India AI Dataset,sprinklr
Senseforth,2017,Enterprise AI,Conversational AI,India,Bengaluru,5.0,25.0,50-100,Early Stage,,False,India AI Dataset,senseforth
Niki.ai,2015,Consumer AI,Shopping AI / Chatbot,India,Bengaluru,15.0,0.0,50-100,Acquired,,False,India AI Dataset,niki.ai
Mad Street Den (Vue),2013,Retail AI,Visual Commerce AI,India,Chennai,30.0,150.0,100-200,Growth Stage,,False,India AI Dataset,mad street den (vue)
Preksha AI,2022,Enterprise AI,AI Sales Agent,India,Bengaluru,2.0,10.0,10-50,Early Stage,,False,India AI Dataset,preksha ai
Kluisz,2023,Fintech AI,Wealth AI,India,Bengaluru,3.5,18.0,10-50,Early Stage,,False,India AI Dataset,kluisz
Raftlabs,2018,Developer Tools,AI App Builder,India,Jaipur,4.0,20.0,50-100,Early Stage,,False,India AI Dataset,raftlabs
Invide,2019,HR Tech,Developer Hiring AI,India,Delhi NCR,3.0,15.0,10-50,Early Stage,,False,India AI Dataset,invide
Lokal,2018,Media Tech,Local Language AI,India,Hyderabad,17.5,90.0,100-200,Growth Stage,,False,India AI Dataset,lokal
Arthmate,2016,Fintech AI,NBFC / Lending AI,India,Delhi NCR,20.0,100.0,100-200,Growth Stage,,False,India AI Dataset,arthmate
Agara,2019,Enterprise AI,Voice AI,India,Bengaluru,13.5,0.0,50-100,Acquired,,False,India AI Dataset,agara
Progcap,2017,Fintech AI,Supply Chain Finance,India,Delhi NCR,25.0,130.0,100-200,Growth Stage,,False,India AI Dataset,progcap
Qik.ai,2018,Enterprise AI,Knowledge AI,India,Mumbai,5.0,25.0,50-100,Early Stage,,False,India AI Dataset,qik.ai
Vidooly,2014,Media Tech,Video Analytics AI,India,Delhi NCR,5.5,30.0,50-100,Early Stage,,False,India AI Dataset,vidooly
Cube Wealth,2017,Fintech AI,Robo-advisory,India,Mumbai,15.0,75.0,50-100,Growth Stage,,False,India AI Dataset,cube wealth
Amber,2017,HR Tech,Employee Engagement AI,India,Delhi NCR,12.0,60.0,50-100,Growth Stage,,False,India AI Dataset,amber
BotPenguin,2017,Enterprise AI,Chatbot Builder,India,Delhi NCR,2.0,10.0,10-50,Early Stage,,False,India AI Dataset,botpenguin
WizCommerce,2021,Retail AI,B2B Commerce AI,India,Delhi NCR,3.5,18.0,10-50,Early Stage,,False,India AI Dataset,wizcommerce
Recur Club,2021,Fintech AI,Revenue Based Finance,India,Bengaluru,30.0,150.0,50-100,Growth Stage,,False,India AI Dataset,recur club
Astrosure AI,2024,Consumer AI,Astrology AI,India,Chennai,6.0,30.0,10-50,Early Stage,,False,India AI Dataset,astrosure ai
Livelytics,2021,Retail AI,Restaurant Analytics AI,India,Bengaluru,2.5,12.0,10-50,Early Stage,,False,India AI Dataset,livelytics
Talkdesk (India team),2011,Enterprise AI,Contact Center AI,India,Bengaluru,498.0,10000.0,1000+,Late Stage,,True,India AI Dataset,talkdesk (india team)
Slintel,2018,Enterprise AI,Sales Intelligence,India,Bengaluru,20.0,0.0,50-100,Acquired,,False,India AI Dataset,slintel
Ozahub,2020,HealthTech,Pharma AI,India,Hyderabad,3.0,15.0,10-50,Early Stage,,False,India AI Dataset,ozahub
Scaler,2019,EdTech,AI-powered Upskilling,India,Bengaluru,55.0,300.0,200-500,Growth Stage,,False,India AI Dataset,scaler
Skillovilla,2020,EdTech,AI Career Platform,India,Delhi NCR,5.0,25.0,50-100,Early Stage,,False,India AI Dataset,skillovilla
Hiver,2011,Productivity,Email AI / Helpdesk,India,Bengaluru,40.0,200.0,100-200,Growth Stage,,False,India AI Dataset,hiver
Smallcase,2015,Fintech AI,Investment AI,India,Bengaluru,40.0,200.0,100-200,Growth Stage,,False,India AI Dataset,smallcase
Recaptcha AI,2022,Security,Fraud Detection AI,India,Bengaluru,4.0,20.0,10-50,Early Stage,,False,India AI Dataset,recaptcha ai
Locus,2015,Logistics,Dispatch Intelligence AI,India,Bengaluru,80.0,400.0,200-500,Growth Stage,,False,India AI Dataset,locus
Turing,2018,HR Tech,Developer Matching AI,India,Bengaluru,140.0,1000.0,200-500,Late Stage,,True,India AI Dataset,turing
Netcore Cloud,1997,MarTech,Marketing AI / CDP,India,Mumbai,100.0,500.0,500-1000,Growth Stage,,False,India AI Dataset,netcore cloud
Turtlemint,2015,Fintech AI,Insurtech AI,India,Mumbai,180.0,900.0,200-500,Growth Stage,,False,India AI Dataset,turtlemint
Arya.ag,2015,AgriTech,Agri Finance AI,India,Delhi NCR,100.0,500.0,200-500,Growth Stage,,False,India AI Dataset,arya.ag
